taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.INT,rab.win.NO,diff.btw,diff.win,effect,overlap,Size,Color,Taxon,Confidence,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Node
72dd8a19404a25d2fddc60ed362c5bf1,0.00214290268663976,0.0587680045556173,0.016098484848485,0.270954542536761,1.66814571917994,-0.119767512630277,6.94518495329442,7.10078529861984,3.41017279040913,1.79055070568979,0.0778228670577618,1.79055070568979,red,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,0.9999012,,,,,,,,72dd8a19404a25d2fddc60ed362c5bf1
7bfb8f5fd7cfb22664cced7a85f6d34e,0.000257722548960167,0.00981974727007502,0,0,0.968436141252662,-0.47713135381882,8.39372682888938,9.12078677608497,3.23097355528457,2.83166863329665,0.00027407495720991,2.83166863329665,red,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,0.9985423,,,,,,,,7bfb8f5fd7cfb22664cced7a85f6d34e
7cdc5ef87d929603eca614c84079d00e,0.000533836408024997,0.0169107771022733,3.15656565656568e-05,0.000724975161450576,0.841767693571972,-0.703858260006763,5.69567395155485,6.2431000333482,2.46813345899767,2.44125672382305,0.00027407495720991,2.44125672382305,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9998369,,,,,,,,7cdc5ef87d929603eca614c84079d00e
82518fd479b3e04be799239f680f6dcb,0.00107920368398352,0.0281078306023487,0,0,0.976974604323731,-0.489857134287114,5.12509754029684,6.02233049552224,2.66089819656666,2.2541386183804,0.00027407495720991,2.2541386183804,red,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,0.9999532,,,,,,,,82518fd479b3e04be799239f680f6dcb
884f50447e9a923e5972bebe77160f4a,0.000372657087126593,0.0117372634535249,0,0,0.936207613625804,-0.619182608049455,6.77019179567913,7.37710025526807,2.61720132256987,2.90363294449377,0.00027407495720991,2.90363294449377,red,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__uncultured;s__,0.9607786,,,,,,,,884f50447e9a923e5972bebe77160f4a
8d8ac22f56498dd567d0102443dc04c4,0.000471643081806092,0.0146583263565206,0,0,1.03250357794372,-0.622386405493369,6.04190789637798,6.75907426512326,2.50466191875816,2.74009846465285,0.00027407495720991,2.74009846465285,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__,0.9999794,,,,,,,,8d8ac22f56498dd567d0102443dc04c4
8f368e79ec5c300692355fae7bf91a0d,0.00117969423949907,0.0339225704943737,0.000568181818181822,0.0126338827933787,1.72393428810825,0.0575278124222791,7.13027868201136,7.33027105189919,3.71822959301684,1.85378347091132,0.00780202023149931,1.85378347091132,red,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured;s__,0.9995784,,,,,,,,8f368e79ec5c300692355fae7bf91a0d
91743a541fece59b63a451cec8debccf,4.23250776031697e-05,0.00235940541289134,0,0,0.732668613683494,-0.94027735152817,9.23506543953416,10.6221001677658,3.16510591675967,3.35772782884331,0.00027407495720991,3.35772782884331,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9999859,,,,,,,,91743a541fece59b63a451cec8debccf
937fba971fffd72ae60ba72b61d8bc2c,0.000282056009128093,0.00970291976264038,0,0,0.966415968805366,-0.711550328976461,6.70998590335332,7.33854973068649,2.58593556077216,2.84607235696164,0.00027407495720991,2.84607235696164,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9934874,,,,,,,,937fba971fffd72ae60ba72b61d8bc2c
94a2452963ef1fea30da49f01e9dcf95,0.000248703889326952,0.00920675240165017,0,0,0.985706080902034,-0.66415844704073,8.32071123376436,8.89799796054831,3.33266880630425,2.69011157143982,0.00027407495720991,2.69011157143982,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9999369,,,,,,,,94a2452963ef1fea30da49f01e9dcf95
9753ef91d982652e273a025b3b0729d4,0.000226928418129177,0.00788168806309071,0,0,0.807866351686499,-0.753921466565267,7.19790444576801,7.86522268781061,2.43151911459725,3.35842313265464,0.00027407495720991,3.35842313265464,red,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter;s__,0.9305492,,,,,,,,9753ef91d982652e273a025b3b0729d4
9b78cd3e5946d0ed86c7f774de9e630c,0.00396027904762549,0.0968822934752324,0.000126262626262627,0.00312591777352986,0.960775668666626,-0.598263374335613,5.02941156382152,6.83162229974707,4.05301931481676,1.85120243131141,0.00027407495720991,1.85120243131141,red,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__,1.0000000,,,,,,,,9b78cd3e5946d0ed86c7f774de9e630c
9cf61f4a6505d9285ca8b1bc1d262321,2.281349981215e-05,0.0012484253754403,0,0,0.95128717765199,-0.656554155049244,10.598470896989,11.3079087726587,2.55218726702262,4.23443767659395,0.00027407495720991,4.23443767659395,red,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia;s__,0.9389835,,,,,,,,9cf61f4a6505d9285ca8b1bc1d262321
a300bd6184f5a714762bf1286e7ff815,0.000870486855389596,0.0271995787341259,0,0,0.943947423480649,-0.756458559834494,6.79018657257427,7.70244191715353,3.34550597465175,2.44053255171339,0.00027407495720991,2.44053255171339,red,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,0.9999586,,,,,,,,a300bd6184f5a714762bf1286e7ff815
ad90b83ac31979de74538af91ebd7118,0.000161993182584775,0.00606299749300664,0,0,0.980526254225428,-0.63484000728373,7.68537990805883,8.37455637311189,2.71211512248224,3.04528503270543,0.00027407495720991,3.04528503270543,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9999524,,,,,,,,ad90b83ac31979de74538af91ebd7118
b2b9ea94595eb386c4e489271a117f17,0.000858294725422135,0.0270565004415748,3.15656565656568e-05,0.00076247387669802,0.940294755338529,-0.56101905531739,6.26882605881698,6.64087331001876,3.11957419773482,2.1267000583941,0.00027407495720991,2.1267000583941,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9998549,,,,,,,,b2b9ea94595eb386c4e489271a117f17
b72f52fdcd297bcc1d904b0ad74688d3,0.000150110754272244,0.00512234297569935,0,0,0.988647448549624,-0.602327325850723,8.2933084173604,9.08732296040052,2.56660794222664,3.59851695432539,0.00027407495720991,3.59851695432539,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9505120,,,,,,,,b72f52fdcd297bcc1d904b0ad74688d3
c05ee9336e6a0715ce0dba3cd715cf02,7.65630135457322e-05,0.00326526742687308,0,0,3.33470205840448,0.360709958874862,11.4558737360137,11.170326437207,3.62693403266551,3.10570276966889,0.00027407495720991,3.10570276966889,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9998203,,,,,,,,c05ee9336e6a0715ce0dba3cd715cf02
cf76429b977f2a1ba65da897020d7c6d,0.000123313592062869,0.00500593363494889,0,0,0.880169898634938,-0.657490802038838,8.19805094795801,8.82569555635322,2.95340919477719,3.08660020944945,0.00027407495720991,3.08660020944945,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9922869,,,,,,,,cf76429b977f2a1ba65da897020d7c6d
cfccc79cd6b7b584d71083c31847d45a,5.80243894431429e-05,0.00293885147825672,0,0,0.889016274804108,-0.783120196037181,9.26912984976816,10.5599179492799,3.16625208765072,3.3967475962356,0.00027407495720991,3.3967475962356,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9999622,,,,,,,,cfccc79cd6b7b584d71083c31847d45a
e7fd53757ac8f5b6c3672246a32abc85,7.47820955161391e-06,0.00064912111984198,0,0,0.915180976530632,-0.689803284977378,11.2697727268696,12.5351037064939,2.94280449188977,4.30103064422121,0.00027407495720991,4.30103064422121,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9998233,,,,,,,,e7fd53757ac8f5b6c3672246a32abc85
e8473820d7b9c7d808ea6e935994460a,0.000235024163313766,0.00788950160616411,0,0,0.864505747043799,-0.680165029601477,8.27743695149707,8.97269824581848,2.71226005954018,3.38294304908746,0.00027407495720991,3.38294304908746,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9994803,,,,,,,,e8473820d7b9c7d808ea6e935994460a
eb32568df5336c88a19cbd32ee0902bc,0.000349979439131806,0.0119166214381875,0,0,0.979003814499052,-0.610557547008126,6.8490538815894,7.31583061727249,2.72671962671165,2.62084100808951,0.00027407495720991,2.62084100808951,red,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,0.9996521,,,,,,,,eb32568df5336c88a19cbd32ee0902bc
ee3ca16f3660d71033208c0518347ac8,4.91486935312192e-05,0.00230251680025013,0,0,1.62523353185248,-0.0764760305141152,11.5177585776499,11.9153528027452,3.28094317930069,3.61958172840751,0.00027407495720991,3.61958172840751,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9992344,,,,,,,,ee3ca16f3660d71033208c0518347ac8
eedb5929cfb1d202e0b5b8b8a54b7fbc,0.000214039690088591,0.00840213644960984,0,0,0.929766700130317,-0.637632084529503,10.4971990346962,10.5460151808147,3.79982887313657,2.85679617107438,0.00027407495720991,2.85679617107438,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9996773,,,,,,,,eedb5929cfb1d202e0b5b8b8a54b7fbc
f4673786df75e1addbe0816453b32aaf,0.000209288381906217,0.00780348913863887,0,0,0.700847416773057,-0.812124476080635,6.33968071950003,7.35373024095772,2.63941064301195,2.67814276909233,0.00027407495720991,2.67814276909233,red,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__,0.9995218,,,,,,,,f4673786df75e1addbe0816453b32aaf
f95d04388a342244b4f9969c1d2a2301,0.000948505117788635,0.0295965153973213,0,0,1.00038896357725,-0.595535317365355,7.70576504696981,8.54870562210289,3.81217890533436,2.3007749927989,0.00027407495720991,2.3007749927989,red,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,0.9999919,,,,,,,,f95d04388a342244b4f9969c1d2a2301
